StartTime,EndTime,PolicyServer,IntervalStartTime,IntervalEndTime,ConfiguredLength,ActualLength,IsComplete,IntervalMaxTransactionsPerSecond,IntervalMaxMRABindingCount,IntervalMaxSessionCount,IntervalMaxPDNConnectionCount
2025-10-19T19:00:00Z,2025-10-19T19:05:00Z,MPE-MBB1-1,2025-10-19T19:00:00Z,2025-10-19T19:05:00Z,300,300,true,1180,0,494607,493441
2025-10-19T19:05:00Z,2025-10-19T19:10:00Z,MPE-MBB1-1,2025-10-19T19:05:00Z,2025-10-19T19:10:00Z,300,300,true,1144,0,493841,492666
2025-10-19T19:10:00Z,2025-10-19T19:15:01Z,MPE-MBB1-1,2025-10-19T19:10:00Z,2025-10-19T19:15:01Z,300,300,true,1090,0,493299,492120
2025-10-19T19:15:01Z,2025-10-19T19:20:01Z,MPE-MBB1-1,2025-10-19T19:15:01Z,2025-10-19T19:20:01Z,300,300,true,1097,0,492768,491600
